CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT)
5.4,1623,-200,28.8,1522,398,447,111
5.3,1576,-200,26.1,1458,418,463,119
6.7,1747,-200,37.1,1709,515,399,128
7,1757,-200,35.7,1680,669,396,117
2.8,1331,-200,16.5,1194,326,559,92
1.7,1182,-200,11,1016,209,658,73
1.7,1162,-200,10.8,1008,183,658,60
1.7,1147,-200,9.6,964,165,668,60
1.2,1040,-200,6.5,836,111,762,53
0.7,920,-200,3.6,688,67,920,47
0.7,931,-200,3.3,670,-200,931,45
0.8,954,-200,4.4,731,88,865,43
0.9,981,-200,5.5,790,147,817,47
1.7,1147,-200,10.8,1009,279,653,50
5.7,1606,-200,31.2,1578,665,440,81
4.3,1490,-200,24.8,1424,592,465,75
3.9,1473,-200,24.2,1409,557,483,87
5.1,1582,-200,29.5,1539,693,435,128
3.7,1468,-200,21,1323,530,496,105
3.3,1413,-200,19.6,1285,412,518,101
3.6,1400,-200,21.2,1331,366,520,100
3.2,1361,-200,18,1238,344,548,98
3.5,1389,-200,20.5,1311,339,525,98
2.4,1305,-200,15.6,1167,297,586,98
2.9,1354,-200,19.2,1275,294,543,90
2.3,1352,-200,20,1296,211,534,84
3.1,1472,-200,21.1,1327,323,497,101
2.9,1412,-200,18.6,1256,333,525,98
1.5,1221,-200,12.3,1061,163,619,76
1.5,1230,-200,10.3,990,151,652,71
1.7,1247,-200,9.6,961,167,666,71
1.6,1217,-200,9.9,975,174,665,66
1.3,1158,-200,8.6,923,142,673,62
1.4,1150,-200,7.3,871,155,697,58
0.9,1061,-200,5.4,785,-200,766,53
0.9,1062,-200,5.1,770,96,780,48
1.3,1157,-200,7.8,890,154,681,53
1.3,1167,-200,8.2,907,211,681,55
2.9,1403,-200,17.6,1229,381,523,63
3.2,1453,-200,20.1,1298,470,489,69
3.4,1455,-200,18.7,1260,464,502,84
3.6,1512,-200,19.5,1282,450,498,95
2.3,1331,-200,13,1082,274,588,80
3.1,1472,-200,18.2,1246,306,512,87
3.3,1430,-200,16.2,1187,308,539,94
1.9,1264,-200,11,1016,186,624,76
2.6,1378,-200,15.9,1177,238,548,92
2.7,1377,-200,14.2,1123,249,578,94
3.7,1527,-200,19.9,1293,378,502,110
3.8,1573,-200,21.7,1343,386,470,109
4.8,1674,-200,25.7,1447,461,448,122
3.5,1455,-200,17.3,1218,394,535,107
2.2,1242,-200,11.2,1022,266,630,83
1.5,1181,-200,8.9,935,158,701,62
3.4,1468,-200,15.2,1155,319,565,89
3.7,1520,-200,17.2,1217,409,552,103
2,1203,-200,11.9,1046,223,621,74
1.4,1096,-200,8.1,903,107,732,52
1.1,991,-200,4.9,759,-200,845,45
-200,941,-200,3.6,686,50,942,38
0.7,952,-200,3.7,695,56,910,39
1.2,1082,-200,6.3,825,163,753,59
1.3,1095,-200,7.7,886,187,705,56
1.1,1049,-200,6.3,826,150,765,51
1,1055,-200,5.6,795,103,807,51
1.2,1074,-200,5.1,767,143,814,58
1.9,1229,-200,9,941,220,680,68
2.3,1228,-200,9.3,952,301,668,81
1.6,1107,-200,5.9,807,214,768,73
1.3,1031,-200,4.4,732,162,872,69
1.8,1155,-200,5.8,804,232,815,81
1.7,1131,-200,6.6,841,254,784,82
1.8,1143,-200,7.8,890,224,744,71
2,1145,-200,8.4,915,247,733,81
2.2,1169,-200,8.3,910,334,726,87
1.6,1105,-200,8.1,905,239,734,72
1.3,1049,-200,6.1,817,168,806,63
1.5,1069,-200,6.7,844,185,767,63
1.5,1073,-200,6.6,838,178,768,63
1.3,1039,-200,6.1,817,132,799,55
1.4,1021,-200,6,811,135,794,52
0.5,825,-200,1.4,536,39,1203,32
0.4,828,-200,1.7,558,-200,1166,30.5
0.4,847,-200,1.9,576,33,1139,29
0.6,903,-200,3.4,679,90,956,44
1.1,1041,-200,7.2,865,164,757,53
2.9,1314,-200,19,1267,336,559,62
3.5,1326,-200,24.5,1416,366,499,68
4.6,1464,-200,25.6,1444,565,475,85
3.4,1313,-200,17.1,1213,536,564,88
2.3,1202,-200,12.3,1058,416,647,82
2.7,1225,-200,15.2,1155,379,607,91
3.1,1257,-200,18.3,1248,368,557,87
3.2,1271,-200,17.2,1217,444,566,90
2.5,1179,-200,14.1,1120,352,634,97
3.4,1278,-200,18.3,1248,375,574,99
4.8,1435,-200,25,1429,479,499,109
4.5,1326,-200,22.2,1356,448,525,95
4,1324,-200,21.4,1335,388,537,80
3.2,1206,-200,16.2,1185,376,592,76
1.9,1052,-200,10.3,987,224,700,62
1.9,1057,-200,8.9,934,206,743,57
1.3,952,-200,6.5,833,143,846,57
1.1,911,-200,5.1,769,113,919,54
1,898,-200,4.6,742,93,915,50
0.5,809,-200,2.1,593,58,1134,44
0.6,823,-200,2.4,616,-200,1072,39
0.5,814,-200,3.2,666,56,1029,34
0.8,857,-200,3.9,705,105,982,44
1.2,935,-200,6,810,243,881,74
2.7,1159,-200,13.8,1110,492,671,101
3,1102,-200,14.8,1141,435,648,103
-200,979,-200,8.4,917,-200,795,96.16666667
-200,998,-200,9,941,-200,785,89.33333333
-200,962,-200,8.3,911,-200,793,82.5
-200,985,-200,9.5,957,-200,773,75.66666667
-200,1043,-200,12.1,1053,-200,707,68.83333333
-200,929,-200,7.4,875,-200,826,62
-200,946,-200,8,898,-200,816,55.16666667
-200,955,-200,7.9,894,-200,818,48.33333333
-200,1004,-200,10.9,1012,-200,730,41.5
-200,1037,-200,12.1,1053,-200,708,34.66666667
-200,1066,-200,14.7,1140,-200,670,27.83333333
-200,890,-200,6,813,-200,898,21
-200,843,-200,4.3,729,-200,990,14.16666667
-200,834,-200,4.1,716,-200,997,7.333333333
-200,809,-200,3.1,659,-200,1074,0.5
-200,786,-200,2.2,600,-200,1164,-6.333333333
-200,747,-200,1.5,543,-200,1276,-13.16666667
-200,723,-200,0.9,485,-200,1419,-20
-200,704,-200,0.5,444,-200,1558,-26.83333333
-200,709,-200,0.6,449,-200,1590,-33.66666667
-200,726,-200,0.7,466,-200,1485,-40.5
-200,798,-200,2.2,599,-200,1205,-47.33333333
-200,925,-200,5.8,800,-200,908,-54.16666667
-200,906,-200,5.9,809,-200,878,-61
1.5,896,-200,5.9,809,286,882,78
1.2,882,-200,5.3,776,281,932,72
-200,948,-200,6.9,853,-200,859,71.48843931
-200,945,-200,7.7,886,-200,818,70.97687861
-200,942,-200,7.3,871,-200,832,70.46531792
-200,943,-200,7.2,864,-200,831,69.95375723
-200,894,-200,6,810,-200,892,69.44219653
-200,984,-200,8.3,910,-200,795,68.93063584
-200,1044,-200,11.2,1022,-200,726,68.41907514
-200,981,-200,10.1,983,-200,759,67.90751445
-200,1021,-200,10.6,1001,-200,731,67.39595376
-200,943,-200,7.2,867,-200,834,66.88439306
-200,863,-200,4.4,732,-200,970,66.37283237
-200,847,-200,3.8,698,-200,1013,65.86127168
-200,859,-200,3.8,698,-200,1015,65.34971098
-200,861,-200,4,712,-200,1004,64.83815029
-200,786,-200,2.2,602,-200,1146,64.3265896
-200,740,-200,1.1,506,-200,1333,63.8150289
-200,730,-200,0.8,483,-200,1434,63.30346821
-200,728,-200,0.8,475,-200,1436,62.79190751
-200,755,-200,1.2,517,-200,1325,62.28034682
-200,854,-200,3.2,663,-200,1080,61.76878613
-200,1079,-200,10.2,985,-200,758,61.25722543
-200,1097,-200,13.6,1103,-200,659,60.74566474
-200,1024,-200,9.9,976,-200,747,60.23410405
-200,990,-200,9.1,942,-200,776,59.72254335
-200,1013,-200,8,901,-200,788,59.21098266
-200,1051,-200,9.7,968,-200,746,58.69942197
-200,1052,-200,9.7,966,-200,726,58.18786127
-200,1141,-200,12,1049,-200,675,57.67630058
-200,1130,-200,11.3,1024,-200,679,57.16473988
-200,1099,-200,10.4,993,-200,711,56.65317919
-200,1182,-200,12.4,1064,-200,653,56.1416185
-200,1211,-200,14.6,1135,-200,615,55.6300578
-200,1340,-200,21,1324,-200,537,55.11849711
-200,1299,-200,17.9,1237,-200,553,54.60693642
-200,1046,-200,7.3,872,-200,769,54.09537572
-200,949,-200,4.8,754,-200,884,53.58381503
-200,966,-200,4.8,756,-200,908,53.07225434
-200,1062,-200,7.7,887,-200,770,52.56069364
-200,934,-200,4.3,730,-200,906,52.04913295
-200,862,-200,3,649,-200,1046,51.53757225
-200,823,-200,2.1,590,-200,1125,51.02601156
-200,839,-200,2.3,604,-200,1097,50.51445087
-200,879,-200,3.5,681,-200,992,50.00289017
-200,1095,-200,10,977,-200,725,49.49132948
-200,1359,-200,20.5,1311,-200,544,48.97976879
-200,1354,-200,22.2,1358,-200,519,48.46820809
-200,1420,-200,24.1,1405,-200,501,47.9566474
-200,1265,-200,17.4,1221,-200,578,47.44508671
-200,1146,-200,14.2,1122,-200,639,46.93352601
-200,1150,-200,15,1149,-200,620,46.42196532
-200,1282,-200,18.3,1247,-200,560,45.91040462
-200,1067,-200,13,1085,-200,684,45.39884393
-200,1185,-200,18.1,1243,-200,603,44.88728324
-200,1312,-200,23.1,1381,-200,540,44.37572254
-200,1319,-200,24.9,1426,-200,509,43.86416185
-200,1255,-200,21.7,1342,-200,539,43.35260116
-200,1123,-200,14.1,1119,-200,648,42.84104046
-200,1126,-200,11.9,1045,-200,689,42.32947977
-200,924,-200,5.1,766,-200,902,41.81791908
-200,982,-200,6.8,849,-200,853,41.30635838
-200,936,-200,4.8,756,-200,939,40.79479769
-200,1069,-200,7.2,865,-200,825,40.28323699
-200,967,-200,5.4,785,-200,879,39.7716763
-200,869,-200,3,649,-200,1033,39.26011561
-200,916,-200,3.7,692,-200,986,38.74855491
-200,886,-200,3.6,686,-200,970,38.23699422
-200,926,-200,4.7,747,-200,902,37.72543353
-200,971,-200,6.9,851,-200,808,37.21387283
-200,1029,-200,7.7,886,-200,807,36.70231214
-200,1124,-200,12.2,1057,-200,667,36.19075145
-200,1063,-200,9.6,964,-200,729,35.67919075
-200,1028,-200,9.6,961,-200,756,35.16763006
-200,944,-200,8.3,910,-200,828,34.65606936
-200,913,-200,7,857,-200,892,34.14450867
-200,966,-200,8.2,906,-200,819,33.63294798
-200,833,-200,4.5,737,-200,1021,33.12138728
-200,891,-200,5.5,789,-200,960,32.60982659
-200,995,-200,8.7,927,-200,825,32.0982659
-200,1038,-200,8.7,929,-200,816,31.5867052
-200,1146,-200,14,1118,-200,695,31.07514451
-200,1059,-200,9.5,958,-200,787,30.56358382
-200,1065,-200,7.9,893,-200,819,30.05202312
-200,1013,-200,6.2,822,-200,855,29.54046243
-200,942,-200,4,712,-200,979,29.02890173
-200,925,-200,4.4,735,-200,960,28.51734104
-200,871,-200,2.6,628,-200,1118,28.00578035
-200,864,-200,2.7,633,-200,1097,27.49421965
-200,929,-200,3.8,698,-200,991,26.98265896
-200,912,-200,3.6,690,-200,984,26.47109827
-200,817,-200,2.2,602,-200,1120,25.95953757
-200,786,-200,1.7,558,-200,1217,25.44797688
-200,827,-200,2.1,595,-200,1208,24.93641618
-200,789,-200,2.3,604,-200,1181,24.42485549
-200,875,-200,4.8,754,-200,961,23.9132948
-200,959,-200,5.6,792,-200,913,23.4017341
-200,969,-200,6.8,850,-200,846,22.89017341
-200,947,-200,6.2,821,-200,900,22.37861272
-200,960,-200,6.8,848,-200,866,21.86705202
-200,1017,-200,11.1,1020,-200,744,21.35549133
-200,979,-200,12.2,1057,-200,701,20.84393064
-200,843,-200,4.7,748,-200,999,20.33236994
-200,877,-200,5.1,769,-200,962,19.82080925
-200,1053,-200,12.7,1072,-200,733,19.30924855
-200,1047,-200,11.6,1037,-200,749,18.79768786
-200,1105,-200,12.7,1074,-200,712,18.28612717
-200,1008,-200,9.7,968,-200,783,17.77456647
-200,975,-200,7.8,891,-200,814,17.26300578
-200,954,-200,6.8,850,-200,840,16.75144509
-200,987,-200,8.1,904,-200,808,16.23988439
-200,880,-200,5.4,784,-200,922,15.7283237
-200,856,-200,4.4,732,-200,988,15.21676301
-200,788,-200,2.4,614,-200,1116,14.70520231
-200,760,-200,1.6,555,-200,1226,14.19364162
-200,777,-200,1.8,570,-200,1191,13.68208092
-200,825,-200,3.1,661,-200,1074,13.17052023
-200,1011,-200,9.2,947,-200,759,12.65895954
-200,1237,-200,20.8,1319,-200,576,12.14739884
-200,1298,-200,26.8,1473,-200,514,11.63583815
-200,1153,-200,17.7,1230,-200,616,11.12427746
-200,1101,-200,14.2,1124,-200,646,10.61271676
-200,1215,-200,16.8,1203,-200,599,10.10115607
-200,1163,-200,16,1179,-200,608,9.589595376
-200,1285,-200,19.9,1293,-200,549,9.078034682
-200,1288,-200,18.5,1253,-200,537,8.566473988
-200,1362,-200,21.4,1334,-200,512,8.054913295
-200,1405,-200,22.8,1372,-200,497,7.543352601
-200,1610,-200,36.5,1697,-200,407,7.031791908
-200,1612,-200,38.8,1745,-200,398,6.520231214
-200,1520,-200,32.3,1604,-200,436,6.00867052
-200,1489,-200,29.3,1534,-200,444,5.497109827
-200,1181,-200,14.2,1124,-200,597,4.985549133
-200,995,-200,8,898,-200,761,4.473988439
-200,998,-200,7.4,875,-200,779,3.962427746
-200,984,-200,7.2,864,-200,788,3.450867052
-200,1022,-200,8,898,-200,746,2.939306358
-200,951,-200,6.5,835,-200,788,2.427745665
-200,910,-200,5.2,773,-200,842,1.916184971
-200,932,-200,5.6,792,-200,818,1.404624277
-200,974,-200,7,859,-200,772,0.893063584
-200,1117,-200,11.5,1031,-200,669,0.38150289
-200,1367,-200,21.7,1343,-200,517,-0.130057803
-200,1583,-200,37.9,1726,-200,404,-0.641618497
-200,1526,-200,30.1,1552,-200,441,-1.153179191
-200,1399,-200,24.5,1416,-200,485,-1.664739884
-200,1436,-200,25.2,1435,-200,479,-2.176300578
-200,1455,-200,26.5,1468,-200,474,-2.687861272
-200,1311,-200,19.6,1286,-200,544,-3.199421965
-200,1174,-200,13.4,1097,-200,640,-3.710982659
-200,1242,-200,15.3,1158,-200,602,-4.222543353
-200,1267,-200,15.1,1151,-200,593,-4.734104046
-200,1401,-200,21.1,1326,-200,530,-5.24566474
-200,1428,-200,23.6,1393,-200,490,-5.757225434
-200,1478,-200,25.7,1447,-200,474,-6.268786127
-200,1518,-200,27.2,1483,-200,454,-6.780346821
-200,1468,-200,24.4,1415,-200,470,-7.291907514
-200,1369,-200,20.3,1305,-200,513,-7.803468208
-200,1244,-200,14.8,1141,-200,571,-8.315028902
-200,1217,-200,12.8,1077,-200,603,-8.826589595
-200,1103,-200,10,979,-200,666,-9.338150289
-200,1118,-200,9.3,951,-200,675,-9.849710983
-200,1087,-200,9.3,950,-200,684,-10.36127168
-200,1069,-200,8.8,931,-200,688,-10.87283237
-200,1112,-200,10.2,985,-200,645,-11.38439306
-200,1196,-200,13.1,1086,-200,594,-11.89595376
-200,1522,-200,26.1,1457,-200,458,-12.40751445
-200,1715,-200,37.9,1728,-200,371,-12.91907514
-200,1582,-200,26.2,1459,-200,448,-13.43063584
-200,1494,-200,23.1,1379,-200,467,-13.94219653
-200,1631,-200,26,1455,-200,438,-14.45375723
-200,1650,-200,28.1,1506,-200,424,-14.96531792
-200,1640,-200,28,1503,-200,431,-15.47687861
-200,1589,-200,24.6,1418,-200,452,-15.98843931
-200,1538,-200,22.4,1362,-200,473,-16.5
4.7,1597,-200,30.9,1573,652,424,167
8,1884,-200,43.7,1846,895,348,194
7.7,1835,-200,40,1770,826,358,172
6.8,1759,-200,35.9,1684,648,373,134
6,1666,-200,30.1,1553,629,409,130
4.7,1506,-200,22.3,1360,529,458,113
3.4,1378,-200,17.7,1229,405,511,99
3.9,1448,-200,19.5,1283,461,496,109
4.4,1481,-200,22.3,1359,486,467,105
3.3,1289,-200,15.4,1161,335,552,91
2,1109,-200,9.3,951,210,664,77
1.5,994,-200,6,812,-200,784,68
-200,1015,-200,6.6,839,99,754,59
0.8,966,-200,5.1,771,149,830,60
1.3,1088,-200,8.8,932,203,706,72
2.7,1303,-200,16.6,1198,332,578,83
3.6,1440,-200,24.3,1412,446,494,104
3.6,1392,-200,20.6,1313,524,517,119
2.6,1248,-200,15.6,1167,347,572,105
2,1197,-200,12.2,1058,273,634,91
3.3,1357,-200,17.7,1230,404,542,103
2.6,1263,-200,14.8,1143,-200,578,107
2.1,1261,-200,15,1148,312,585,111
2.9,1382,-200,16.7,1200,369,539,101
3,1400,-200,17.7,1230,362,519,102
3.2,1443,-200,20.9,1322,335,488,101
4.4,1630,-200,28.7,1520,447,427,118
6,1720,-200,34.8,1661,576,382,120
5,1600,-200,27.5,1492,486,432,107
4.3,1525,-200,24.9,1427,439,450,104
4.3,1544,-200,24.2,1409,462,448,91
4.2,1455,-200,22.2,1357,441,466,91
2.2,1203,-200,13.2,1090,223,593,74
1.3,1038,-200,7.9,895,126,714,63
1,975,-200,5.9,807,116,788,57
0.7,917,-200,4.1,714,-200,870,52.5
-200,930,-200,4.6,741,125,849,48
0.9,960,-200,5.8,804,198,802,49
1,982,-200,6.5,834,185,770,55
2.8,1359,-200,19.5,1282,425,541,78
4.1,1500,-200,28,1503,465,437,91
2.9,1315,-200,18.7,1261,341,535,88
2.7,1307,-200,18.3,1248,316,525,83
2.1,1235,-200,14.3,1125,241,574,81
2.4,1310,-200,16.5,1194,266,538,83
3.8,1459,-200,22.9,1375,412,467,111
3.7,1461,-200,22.3,1358,394,474,112
3.7,1476,-200,22,1352,365,474,112
5.5,1612,-200,27.7,1496,548,429,137
5.4,1654,-200,29.8,1546,494,435,152
8.4,1808,-200,40,1771,686,373,163
6.8,1681,-200,35.1,1666,556,397,135
4.5,1494,-200,25.5,1443,467,454,119
2.5,1251,-200,13.7,1107,297,579,91
1.6,1132,-200,9.7,965,164,669,74
1.7,1158,-200,9.8,970,196,664,73
1.7,1146,-200,10.1,983,201,673,71
1.1,993,-200,6,813,132,792,57
1,989,-200,6,814,146,800,51
0.8,943,-200,4.6,746,-200,852,46.5
-200,910,-200,4,712,94,872,42
0.7,925,-200,4.6,742,127,876,43
1.2,1039,-200,7.6,882,217,724,52
2.3,1208,-200,13.6,1104,394,598,65
3,1268,-200,16,1179,511,545,69
3.3,1353,-200,18.9,1265,523,507,91
2.8,1317,-200,15.7,1171,471,542,92
3,1356,-200,16.2,1187,441,534,102
3.4,1414,-200,19.4,1279,414,504,118
3,1326,-200,16.9,1206,317,533,111
2.3,1211,-200,12.5,1067,230,609,101
3.1,1324,-200,15.8,1173,365,564,119
3,1324,-200,16,1181,360,565,115
3.3,1361,-200,16.3,1189,420,549,120
4,1475,-200,21,1324,475,490,115
4.6,1537,-200,23.1,1381,526,469,118
4.1,1413,-200,17.7,1231,460,520,117
2.3,1229,-200,12.2,1055,255,607,96
2.6,1297,-200,14.6,1136,283,567,89
2.6,1302,-200,13.1,1088,271,594,84
2.9,1347,-200,15.5,1165,315,573,97
2.1,1165,-200,11.8,1042,227,631,68
2.1,1155,-200,10.9,1012,243,633,66
1.5,1050,-200,8.4,916,-200,696,58.5
-200,1035,-200,7,855,142,731,51
1.4,1057,-200,8.6,925,139,684,48
1.2,1029,-200,7.5,880,182,709,47
1.5,1037,-200,8.1,902,196,704,48
0.9,920,-200,4.8,755,108,853,45
1.4,1080,-200,7.8,891,175,732,59
2.1,1152,-200,9.7,966,266,661,84
1.6,1085,-200,8.4,918,179,721,72
1.5,1071,-200,7.6,882,154,745,68
1.1,1000,-200,5.9,807,95,811,52
1.4,1058,-200,7.4,875,151,756,70
2,1184,-200,10.1,983,230,667,90
2,1189,-200,9.7,965,239,670,87
2.5,1277,-200,11.8,1043,306,614,99
4.3,1482,-200,20.3,1305,472,503,128
5.2,1555,-200,24.3,1410,532,464,127
3.4,1324,-200,15.6,1168,375,568,99
1.3,1015,-200,7.3,869,147,747,72
1.2,1010,-200,7.1,860,118,768,62
1.7,1081,-200,9,938,181,697,62
1.7,1071,-200,8.9,936,209,695,63
1.4,1014,-200,7.2,864,167,745,56
0.9,891,-200,4.4,735,112,878,44
0.7,874,-200,4.1,715,-200,889,40.5
-200,882,-200,4.3,729,108,875,37
0.9,940,-200,5.9,806,181,800,48
1.2,1020,-200,7.2,866,253,749,59
3.2,1316,-200,18.5,1253,521,527,77
4.4,1423,-200,25,1429,649,467,88
3.5,1314,-200,18.8,1262,516,531,111
3.2,1317,-200,19.5,1283,487,518,114
3,1305,-200,18.2,1245,529,524,108
3.5,1351,-200,20,1298,565,498,111
4,1438,-200,24.8,1425,558,451,126
3.8,1454,-200,23.1,1380,568,457,117
4.2,1512,-200,25.5,1441,605,432,119
5,1584,-200,32,1597,666,392,125
7.9,1816,-200,46.3,1897,814,330,158
8.4,1824,-200,44.5,1862,860,340,149
8,1744,-200,41,1793,820,352,136
6.4,1588,-200,32.5,1610,742,400,112
3.5,1319,-200,19.1,1273,492,511,87
3.5,1313,-200,19.6,1285,464,505,82
1.9,1073,-200,10.7,1005,258,661,67
2.2,1119,-200,12.2,1056,311,624,68
1.6,989,-200,8,900,231,737,60
1,912,-200,5.5,788,127,822,48
1,904,-200,5.5,787,-200,820,45
-200,851,-200,4.3,726,124,897,42
0.9,902,-200,5.9,809,138,835,46
1.4,981,-200,8.6,923,228,730,54
3,1267,-200,18.7,1260,383,572,82
4.5,1392,-200,25,1429,581,469,93
3.8,1308,-200,19.6,1285,545,522,95
3.4,1313,-200,20.8,1318,593,511,120
3.5,1350,-200,20.1,1299,602,518,132
4.4,1477,-200,26.7,1471,624,455,146
4,1409,-200,23.6,1393,546,484,157
4.5,1495,-200,26.4,1465,597,451,158
5.3,1606,-200,30.9,1573,688,419,175
5.8,1669,-200,32.8,1615,760,404,166
8.4,1822,-200,45.9,1890,918,347,187
9.5,1908,-200,52.1,2007,952,325,180
6.2,1664,-200,36.6,1699,685,385,134
5,1465,-200,24,1404,561,468,127
2.1,1076,-200,9.8,972,239,691,95
1.4,1055,-200,7.9,895,175,758,79
1.6,1075,-200,7.5,878,169,734,78
2,1135,-200,9.2,948,215,685,80
1.2,998,-200,5.7,799,115,786,67
0.8,953,-200,4.4,734,94,861,61
0.6,926,-200,3.9,708,-200,874,56
-200,895,-200,3.1,656,80,946,51
0.7,967,-200,5.1,767,132,833,56
1.7,1164,-200,10.5,997,295,641,68
3.4,1421,-200,20.6,1313,517,502,101
4.9,1465,-200,28.5,1515,555,454,119
2.7,1189,-200,12.7,1075,429,614,108
3.2,1278,-200,16.1,1182,561,585,132
2.7,1169,-200,14.9,1144,427,611,130
3.2,1214,-200,16.8,1203,445,580,129
4.1,1351,-200,21.8,1345,538,502,117
3.6,1340,-200,18.6,1256,556,537,119
2.8,1157,-200,14.5,1131,370,623,113
2.1,1118,-200,13.4,1096,257,647,102
2.4,1150,-200,15.8,1173,266,608,101
3.6,1247,-200,20.7,1315,403,544,116
2.6,1194,-200,16.6,1198,275,587,101
2.8,1184,-200,15.3,1157,338,586,94
1.4,990,-200,8,898,176,748,75
1.1,933,-200,5.8,803,159,842,69
1.3,968,-200,7,858,147,796,60
0.9,861,-200,4.5,735,99,925,58
1,904,-200,5.2,774,98,878,51
0.9,866,-200,4.4,734,109,899,45
0.7,881,-200,4.2,724,-200,913,43
-200,838,-200,3.8,700,112,936,41
0.8,905,-200,5.2,776,163,851,48
1.6,1055,-200,10,977,326,703,61
3.4,1328,-200,20,1296,640,527,88
4.4,1401,-200,25.8,1449,736,477,102
3.5,1291,-200,20,1296,667,529,97
3.4,1316,-200,20.6,1314,677,526,116
2.4,1116,-200,12.2,1057,425,639,112
2.3,1139,-200,13.1,1088,349,625,101
2.6,1165,-200,14.5,1131,332,609,99
2.9,1260,-200,17.5,1224,412,571,113
4.4,1475,-200,25.9,1451,631,455,122
5,1521,-200,26.6,1470,677,446,139
6.5,1633,-200,35.3,1671,761,398,149
5.9,1463,-200,28.2,1508,650,468,136
2.7,1140,-200,14.2,1122,262,619,103
2.5,1147,-200,12.4,1065,292,651,112
1.5,988,-200,6.6,839,177,805,88
1,924,-200,4.8,754,103,890,63
1.2,950,-200,5.4,782,127,862,69
1,926,-200,4.3,727,119,925,65
0.8,879,-200,2.9,645,83,1023,50
0.6,864,-200,2.5,621,65,1073,43
0.6,868,-200,2.2,596,-200,1092,49.5
-200,894,-200,2.7,636,84,1010,56
1.1,1009,-200,6.1,816,200,799,69
1.3,1069,-200,7.7,889,242,738,91
2.9,1311,-200,15.9,1178,366,574,111
3.7,1370,-200,22.8,1372,404,485,124
3,1246,-200,16.6,1197,429,566,119
1.4,1039,-200,8.4,917,169,735,77
2.6,1296,-200,13.9,1113,419,604,101
4.2,1523,-200,24.9,1428,603,458,116
5.1,1424,-200,22.4,1361,589,484,137
5.5,1513,-200,26.1,1457,706,463,163
4.5,1338,-200,18.1,1244,592,558,144
2.7,1214,-200,13.9,1113,305,616,118
3.1,1290,-200,18.5,1253,371,550,135
4.2,1353,-200,20.9,1323,465,519,129
3.1,1130,-200,12.9,1082,390,647,128
1.7,969,-200,6.7,843,227,828,103
1.8,1038,-200,7,856,284,801,116
1.7,1020,-200,7.3,869,211,793,95
2.1,1097,-200,9.1,944,297,716,107
2.4,1123,-200,9.9,973,351,690,108
1.8,1023,-200,6.9,851,259,782,94
1.5,1015,-200,6.5,833,214,786,84
1.4,979,-200,5.9,805,-200,809,78
-200,931,-200,5.4,784,173,826,72
1,922,-200,5.4,783,192,857,76
1.4,989,-200,7.8,891,237,762,82
2.4,1149,-200,13.6,1103,413,622,94
3.1,1202,-200,15.4,1160,455,585,102
3,1206,-200,14.4,1131,493,592,106
2.7,1224,-200,14.3,1126,482,596,108
4,1371,-200,20.3,1305,599,521,152
3.7,1327,-200,18.7,1259,481,539,160
3.4,1301,-200,17.3,1218,406,553,133
3.4,1301,-200,16.9,1208,419,560,147
3.2,1314,-200,16.4,1191,387,564,135
3.9,1394,-200,19.1,1272,461,526,135
3.7,1385,-200,18.7,1260,493,528,129
4.3,1440,-200,22.4,1362,532,486,117
4.9,1493,-200,25.3,1437,581,470,116
4,1319,-200,17.7,1230,494,551,109
2.8,1187,-200,13.8,1110,392,612,96
2.4,1119,-200,10.2,984,311,688,90
1.9,1100,-200,8.6,924,236,744,82
2,1076,-200,7.9,895,270,757,86
1.5,972,-200,5.7,799,199,833,72
1.3,973,-200,6.4,828,146,818,61
1,918,-200,4.6,742,-200,905,53
-200,844,-200,2.7,630,74,1035,45
0.5,817,-200,2.1,588,55,1134,37
0.4,791,-200,1.2,519,43,1291,31
0.4,819,-200,1.4,537,46,1264,30
0.9,972,-200,4.6,743,139,944,41
1.3,997,-200,5.7,797,169,812,64
2.1,1194,-200,10.6,1000,254,653,74
2.4,1240,-200,11,1014,303,628,77
2,1117,-200,8.6,922,259,717,83
1.8,1141,-200,8.8,932,226,689,71
1.5,1062,-200,7.5,880,161,719,62
1.6,1160,-200,11.6,1036,182,622,62
2.2,1169,-200,10.1,983,289,672,79
2.3,1185,-200,10.8,1006,340,666,93
6.6,1571,-200,30.3,1559,544,440,106
4.7,1464,-200,22.4,1362,543,487,100
4.1,1423,-200,20.6,1314,501,508,89
4.1,1318,-200,17.5,1226,521,543,83
2.7,1229,-200,13.9,1114,352,598,76
2.6,1187,-200,13.6,1105,321,611,68
3.2,1353,-200,15.9,1176,318,584,69
3.7,1407,-200,17.8,1235,338,548,77
3.5,1333,-200,16.7,1201,353,552,68
3,1269,-200,16,1181,-200,559,60
-200,1253,-200,16.9,1206,291,540,52
2.7,1212,-200,15,1149,279,562,49
1.8,1061,-200,9.6,962,200,679,45
1.3,1028,-200,7.8,890,180,733,51
1.5,1067,-200,8.7,928,213,711,51
1.9,1111,-200,9.8,970,266,667,62
2.2,1189,-200,12.4,1065,247,609,74
2.6,1293,-200,13.9,1114,326,584,88
2.7,1285,-200,12.5,1065,319,597,90
2.5,1236,-200,10.9,1011,320,631,91
